PU_01,PU_02,PU_03,CO_01,CO_02,CO_03,EOU_01,EOU_02,EOU_03,EMV_01,EMV_02,EMV_03,AD_01,AD_02,AD_03,USE_01,Gender,Age,Education,Ebook_reader_ownership
4,3,3,3,3,3,5,5,4,4,3,3,2,2,2,2,2,27,6,2
3,1,4,3,3,4,4,4,2,4,4,3,5,4,4,3,2,68,6,1
4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,1,29,5,2
4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,60,4,2
4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,2,50,6,1
5,4,3,4,4,3,4,3,4,4,4,4,4,4,3,5,1,48,3,1
5,3,4,3,4,4,3,4,3,3,3,4,4,4,4,2,1,43,6,2
2,3,3,1,2,4,4,4,4,4,4,4,3,3,3,2,1,42,6,2
1,1,2,1,1,1,3,3,3,4,3,4,4,2,4,2,2,44,4,2
3,4,4,3,2,2,4,4,4,4,3,2,5,5,5,7,1,56,5,1
4,5,4,4,4,4,5,5,5,4,4,4,4,3,4,3,1,40,3,2
4,4,5,4,4,4,4,4,4,4,3,4,5,5,5,5,1,27,6,1
4,3,4,4,4,4,5,5,4,5,5,4,5,4,5,6,1,55,3,2
3,2,2,1,1,1,4,5,5,3,3,3,3,3,2,2,2,47,6,2
3,4,3,3,4,3,4,4,4,5,5,5,5,5,5,4,1,71,2,1
4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,1,37,4,1
5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,6,1,65,4,1
5,3,4,4,4,4,5,4,4,4,4,4,4,4,4,3,1,47,4,2
1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,36,1,2
4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,1,2,28,2,2
4,4,4,4,4,4,5,5,2,4,3,3,5,3,4,3,2,62,5,1
3,3,4,3,3,3,3,4,4,4,4,4,4,2,3,2,2,64,3,2
5,3,5,4,4,4,4,4,4,4,4,4,4,3,4,5,2,60,1,2
5,5,5,3,3,4,4,3,4,4,4,4,4,4,4,6,1,60,5,1
4,2,5,4,4,4,5,5,5,4,3,4,4,3,4,4,1,29,6,1
4,3,3,3,3,4,5,5,5,4,3,3,5,5,5,6,1,56,5,2
3,3,5,3,3,3,5,4,3,3,3,3,3,3,3,2,2,26,5,2
3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,1,68,3,1
1,1,1,1,1,1,5,5,5,4,1,1,1,1,1,3,1,27,6,1
4,4,5,4,4,4,5,5,4,4,4,4,5,5,5,6,2,51,6,1
3,2,2,2,3,4,3,2,2,4,4,4,5,5,5,5,1,57,3,1
3,3,4,2,4,4,5,5,4,4,4,4,4,4,4,4,2,34,4,2
3,5,5,4,3,5,5,5,5,5,4,4,5,4,5,5,1,72,4,1
5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,6,1,40,5,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,1,40,5,1
4,3,3,2,3,4,2,3,3,2,4,4,3,3,3,3,2,36,5,2
4,3,4,4,5,4,5,3,4,5,4,5,4,4,5,6,2,40,5,1
4,3,4,3,4,5,5,4,4,5,5,5,3,3,3,5,1,52,6,2
4,4,5,3,4,4,5,5,5,4,3,3,4,2,3,2,2,26,5,2
4,3,4,3,3,4,4,3,3,4,4,4,4,4,4,4,1,28,5,1
4,4,4,3,3,5,5,5,4,4,5,4,5,4,4,3,2,37,6,2
4,3,4,2,3,4,3,2,2,4,3,3,3,3,2,1,1,27,4,2
4,4,2,2,3,4,2,4,4,4,4,4,4,4,3,3,1,28,3,2
3,3,4,3,3,3,5,5,5,5,5,5,4,4,4,4,1,27,6,1
4,3,5,4,4,5,2,4,5,5,5,5,5,5,5,6,1,74,1,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,35,4,2
4,3,2,1,1,1,1,4,3,1,1,1,2,1,1,1,2,42,5,2
3,3,4,3,3,3,5,5,5,4,4,4,4,3,3,3,2,29,4,2
3,2,4,3,3,4,4,5,5,4,4,4,5,5,5,3,2,68,6,2
4,4,4,1,1,3,1,5,5,3,3,3,4,4,4,3,1,46,3,2
4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,5,1,48,4,1
2,2,1,3,2,2,1,5,4,4,4,4,5,5,5,5,1,53,5,1
5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,1,36,4,1
3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,5,2,29,6,1
4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,5,1,28,6,1
3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,1,60,3,1
4,3,5,4,4,4,4,4,5,4,3,4,5,5,5,5,2,48,3,2
4,3,3,3,2,4,3,4,4,4,3,4,3,3,3,1,2,34,4,2
5,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,1,63,3,1
4,4,4,4,4,4,5,5,5,4,3,4,5,4,4,3,2,27,5,1
3,3,2,2,3,2,3,4,3,4,3,3,3,4,3,1,2,66,2,1
2,2,4,4,2,4,5,5,5,4,4,4,5,5,5,4,2,43,6,1
4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,3,2,40,4,1
3,4,3,3,3,4,5,5,4,3,3,3,4,4,3,5,2,65,5,2
4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,5,2,46,4,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,34,6,1
4,4,4,4,4,5,4,4,5,4,3,4,5,4,4,5,1,26,4,1
3,2,3,3,4,3,4,4,4,4,4,4,4,4,4,2,1,27,4,2
5,3,4,3,3,3,5,5,4,4,4,4,5,5,5,6,2,38,4,2
2,4,4,3,3,4,5,4,4,4,4,4,4,3,4,5,1,36,6,1
4,3,3,4,4,4,4,4,3,4,3,4,4,4,4,1,2,36,3,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,40,6,1
4,4,2,4,4,4,4,4,5,3,3,3,4,4,4,5,2,28,5,2
5,4,4,4,4,5,3,5,5,3,3,4,4,2,3,2,2,40,4,2
5,4,4,5,5,4,4,5,5,4,4,5,4,4,4,3,2,41,3,2
5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,6,1,40,5,1
4,3,5,4,3,4,5,5,5,4,4,4,5,4,5,5,1,28,6,1
2,2,2,3,3,4,4,4,4,4,3,4,4,4,4,2,2,43,3,1
5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,2,45,4,2
2,4,5,5,5,5,4,4,4,4,4,4,4,4,4,5,1,27,4,2
4,5,4,4,4,5,4,5,5,4,4,4,5,5,4,6,1,45,6,1
4,4,5,3,3,5,5,5,4,5,4,5,5,5,5,6,1,45,6,1
4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,1,52,4,2
5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,7,1,43,4,1
4,3,5,3,4,4,5,5,5,5,5,5,4,3,4,5,1,27,3,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,35,4,2
4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,67,3,2
5,5,5,3,3,3,3,3,3,1,1,1,3,3,3,3,2,30,5,2
5,5,5,4,4,5,5,5,5,4,3,3,5,3,3,2,1,27,6,1
3,2,1,4,4,2,5,5,5,3,3,4,4,3,3,2,2,55,2,2
4,4,3,3,4,2,5,4,4,4,4,3,5,4,4,3,2,61,6,1
5,3,3,4,4,4,4,4,5,5,4,4,4,4,4,3,1,34,5,1
4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,7,2,39,6,1
3,3,3,2,2,4,4,4,4,5,4,5,5,5,5,5,2,33,5,1
4,1,1,1,1,1,5,5,5,5,3,3,1,1,1,2,2,69,2,2
2,3,1,2,3,2,5,4,3,3,3,3,3,3,3,3,1,66,3,2
3,4,4,3,3,4,3,4,4,2,3,4,3,4,4,4,2,34,6,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,48,3,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,21,2,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,65,4,2
4,4,3,4,4,4,4,5,4,5,5,5,4,4,4,5,2,27,5,2
4,2,3,2,3,3,4,4,3,4,4,3,4,4,4,3,1,25,6,1
1,2,2,2,3,3,3,2,1,4,4,4,2,4,3,3,2,29,5,2
4,4,4,4,4,4,5,4,4,4,4,4,5,4,5,5,2,42,5,2
3,4,4,3,3,4,3,4,4,4,3,3,5,3,4,3,1,52,3,2
5,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,20,3,2
4,3,5,4,4,4,5,5,4,4,3,4,5,5,5,7,2,27,3,1
4,3,3,2,3,3,4,4,3,3,3,3,4,3,3,3,2,54,5,2
4,5,3,2,3,2,5,3,3,5,5,5,5,5,5,2,2,54,5,2
4,3,5,4,4,4,5,5,4,5,4,4,4,3,3,2,1,26,6,1
2,3,3,3,3,2,3,2,2,4,4,4,4,4,4,3,1,41,3,2
4,5,5,4,4,5,4,4,4,5,5,5,5,4,4,6,1,38,6,1
4,4,3,3,4,3,5,4,4,5,5,5,4,4,4,4,1,29,4,1
4,4,3,3,4,4,4,4,4,3,3,4,3,4,4,3,2,54,2,2
4,3,2,2,4,2,4,4,4,3,3,3,4,4,4,4,2,37,6,2
4,2,3,2,3,4,3,3,3,4,4,4,4,4,4,6,2,53,3,2
3,3,4,3,3,4,3,3,3,4,4,4,4,4,4,5,1,67,4,1
4,2,3,3,2,3,5,4,4,3,4,4,4,4,4,5,2,62,6,2
3,2,3,2,3,4,4,4,4,3,3,3,3,3,3,4,2,28,4,2
3,4,3,3,3,3,4,4,4,3,3,3,4,3,4,4,1,38,5,2
4,2,2,2,3,3,3,3,3,1,1,1,1,1,1,1,2,67,3,2
3,3,3,2,2,2,4,4,4,2,2,2,4,3,3,2,2,36,6,2
3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,2,2,33,5,1
3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,52,4,2
3,3,2,4,2,2,2,4,4,4,4,4,4,4,4,5,2,56,6,2
2,4,3,4,3,4,4,4,3,4,4,4,5,4,4,4,1,50,6,2
4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,2,71,4,1
4,4,4,4,4,4,4,4,4,5,4,4,5,5,4,5,1,41,3,2
4,5,3,4,4,5,4,4,3,4,4,4,5,4,5,7,2,37,2,1
5,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,63,5,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,2,53,5,1
4,4,3,2,4,3,4,4,4,3,4,4,4,3,3,4,2,35,4,2
5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,26,6,1
4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,2,65,6,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,1,39,3,2
5,4,3,4,4,4,4,5,4,4,4,4,4,3,3,5,2,21,4,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,1,19,3,1
2,3,2,2,2,4,4,4,4,4,4,4,5,5,5,5,1,71,4,1
4,5,4,3,4,5,4,5,5,4,5,5,5,5,4,5,1,34,3,1
3,4,4,3,4,4,5,4,4,5,5,4,4,3,4,6,2,18,5,1
3,3,1,3,3,2,2,4,4,4,3,4,3,3,3,2,1,19,4,2
3,3,4,3,3,4,3,3,3,4,3,3,3,3,3,3,1,57,3,2
3,2,3,3,2,2,2,3,4,4,4,4,3,3,3,5,1,25,4,2
3,4,5,4,5,4,5,4,4,4,4,5,4,4,4,6,2,26,4,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,28,6,1
4,3,2,2,2,2,4,4,4,2,2,2,2,2,2,2,1,18,3,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,19,3,2
3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,1,2,29,4,2
4,3,5,4,4,4,5,4,4,4,4,4,4,4,4,4,2,19,4,1
4,2,4,2,3,3,4,3,4,4,3,4,4,4,4,5,1,18,4,2
4,2,4,2,3,3,4,4,4,4,2,2,4,4,3,3,1,19,4,2
5,2,4,3,1,5,4,4,4,4,4,4,5,4,4,3,2,48,5,1
2,4,4,3,4,4,3,4,4,4,4,3,3,2,4,3,1,18,3,1
4,4,4,3,3,4,5,5,5,3,3,3,5,4,5,5,1,17,1,1
4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,2,19,3,1
5,5,5,4,5,5,5,5,5,4,5,4,5,5,4,6,2,24,4,1
4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,1,20,3,1
2,3,2,3,2,2,3,2,3,2,2,2,2,2,2,3,1,70,3,2
4,3,4,3,3,4,5,4,4,4,4,4,4,4,4,5,2,78,1,1
4,4,3,4,4,4,4,4,5,3,4,4,3,4,3,3,2,20,4,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,2,42,5,1
5,2,3,3,3,4,5,5,5,4,4,4,4,4,4,5,2,18,3,1
5,1,2,2,2,4,5,5,5,4,4,4,4,4,4,2,2,18,3,2
4,2,3,4,4,5,5,5,5,5,5,4,4,4,4,5,2,19,4,2
4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,32,5,1
4,3,3,4,4,3,4,4,4,4,4,4,5,4,4,5,1,71,2,1
5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,6,1,70,2,1
5,4,1,1,1,1,1,5,5,3,2,3,4,4,4,3,2,18,4,2
3,2,3,2,3,3,3,3,3,4,4,2,4,3,4,1,1,34,5,2
4,4,4,4,4,2,5,4,2,5,5,5,5,5,5,7,2,17,4,2
2,3,4,5,4,3,5,1,1,3,4,5,2,2,3,6,2,19,6,1
4,4,4,2,3,5,3,4,3,4,3,3,4,2,3,2,2,18,3,2
4,3,2,2,1,3,4,4,4,4,4,4,4,4,3,4,2,18,3,2
4,3,4,3,3,3,2,3,3,3,3,3,3,3,3,1,1,40,4,2
